grade_2,grade_1,class_failures,higher_ed_encoded,higher_ed,student_id,school,school_encoded,mother_education_higher education,study_time_<2 hours,mother_education_primary education (4th grade),weekend_alcohol,mother_job,weekday_alcohol,school_choice_reason_reputation,final_grade
11,0,0,1,yes,1,GP,0,True,False,False,1,at_home,1,False,1.0
11,9,0,1,yes,2,GP,0,False,False,True,1,at_home,1,False,1.0
13,12,0,1,yes,3,GP,0,False,False,True,3,at_home,2,False,2.0
14,14,0,1,yes,4,GP,0,True,False,False,1,health,1,False,2.67
13,11,0,1,yes,5,GP,0,False,False,False,2,other,1,False,2.33
12,12,0,1,yes,6,GP,0,True,False,False,2,services,1,True,2.33
12,13,0,1,yes,7,GP,0,False,False,False,1,other,1,False,2.33
13,10,0,1,yes,8,GP,0,True,False,False,1,other,1,False,2.33
16,15,0,1,yes,9,GP,0,False,False,False,1,services,1,False,3.67
12,12,0,1,yes,10,GP,0,False,False,False,1,other,1,False,2.33
14,14,0,1,yes,11,GP,0,True,False,False,2,teacher,1,True,2.67
12,10,0,1,yes,12,GP,0,False,False,False,1,services,1,True,2.33
13,12,0,1,yes,13,GP,0,True,True,False,3,health,1,False,2.0
12,12,0,1,yes,14,GP,0,True,False,False,2,teacher,1,False,2.33
14,14,0,1,yes,15,GP,0,False,False,False,1,other,1,False,3.0
17,17,0,1,yes,16,GP,0,True,True,False,2,health,1,False,3.67
13,13,0,1,yes,17,GP,0,True,False,False,2,services,1,True,2.67
14,13,0,1,yes,18,GP,0,False,False,False,1,other,1,True,2.67
8,8,3,1,yes,19,GP,0,False,True,False,4,services,2,False,0.0
12,12,0,1,yes,20,GP,0,True,True,False,3,health,1,False,2.0
13,12,0,1,yes,21,GP,0,True,False,False,1,teacher,1,True,2.67
12,11,0,1,yes,22,GP,0,True,True,False,1,health,1,False,2.0
13,12,0,1,yes,23,GP,0,True,False,False,3,teacher,1,False,2.67
10,10,0,1,yes,24,GP,0,False,False,False,4,other,2,True,1.0
11,10,0,1,yes,25,GP,0,False,False,False,1,services,1,False,1.0
11,10,0,1,yes,26,GP,0,False,True,False,3,services,1,False,2.0
12,11,0,1,yes,27,GP,0,False,True,False,2,other,1,False,2.0
11,11,0,1,yes,28,GP,0,True,True,False,4,health,2,False,1.0
12,12,0,1,yes,29,GP,0,False,False,False,1,services,1,False,2.33
11,12,0,1,yes,30,GP,0,True,False,False,5,teacher,5,False,2.0
11,10,0,1,yes,31,GP,0,True,False,False,4,health,3,False,1.0
15,15,0,1,yes,32,GP,0,True,False,False,1,services,1,True,3.0
14,13,0,1,yes,33,GP,0,True,False,False,1,teacher,1,False,3.0
12,13,0,1,yes,34,GP,0,False,False,False,1,other,1,False,2.0
12,12,0,1,yes,35,GP,0,False,True,False,1,other,1,False,2.0
11,11,0,1,yes,36,GP,0,False,True,False,1,other,1,False,1.0
14,14,0,1,yes,37,GP,0,True,False,False,1,teacher,1,False,2.67
13,13,0,1,yes,38,GP,0,True,False,False,1,other,1,True,2.33
12,11,0,1,yes,39,GP,0,False,False,False,1,services,1,False,2.0
13,14,0,1,yes,40,GP,0,False,True,False,1,at_home,1,True,2.0
11,11,0,1,yes,41,GP,0,False,False,False,2,other,1,False,1.0
11,10,0,1,yes,42,GP,0,True,True,False,4,teacher,2,False,1.0
15,14,0,1,yes,43,GP,0,True,False,False,1,services,1,False,3.0
10,9,0,1,yes,44,GP,0,False,True,False,1,services,1,False,1.0
11,10,1,1,yes,45,GP,0,False,False,False,2,other,2,False,1.0
11,10,0,1,yes,46,GP,0,True,False,False,1,other,1,False,1.0
12,13,0,1,yes,47,GP,0,False,False,False,4,other,1,False,2.33
17,17,0,1,yes,48,GP,0,True,False,False,1,health,1,True,3.67
12,11,0,1,yes,49,GP,0,True,False,False,2,teacher,2,False,2.33
12,13,0,1,yes,50,GP,0,True,False,False,1,services,1,False,2.0
13,14,0,1,yes,51,GP,0,False,False,False,3,services,2,False,2.33
14,16,0,1,yes,52,GP,0,True,False,False,1,health,1,False,3.33
9,10,0,1,yes,53,GP,0,True,True,False,4,health,3,False,0.0
12,13,0,1,yes,54,GP,0,True,True,False,3,services,2,False,2.0
12,13,0,1,yes,55,GP,0,False,True,False,4,other,4,False,2.33
13,12,0,1,yes,56,GP,0,False,False,False,1,other,1,False,2.0
14,15,0,1,yes,57,GP,0,True,False,False,1,services,1,True,3.0
15,15,0,1,yes,58,GP,0,True,False,False,1,teacher,1,True,3.33
13,14,0,1,yes,59,GP,0,False,False,True,1,other,1,False,2.67
15,16,0,1,yes,60,GP,0,True,False,False,1,services,1,False,3.33
16,17,0,1,yes,61,GP,0,True,False,False,3,health,2,False,3.33
10,10,0,1,yes,62,GP,0,False,True,True,5,services,5,False,3.33
13,13,0,1,yes,63,GP,0,False,False,True,1,other,1,True,1.0
13,14,0,1,yes,64,GP,0,True,False,False,4,teacher,2,False,2.33
12,13,0,1,yes,65,GP,0,True,False,False,4,services,2,True,2.0
15,16,0,1,yes,66,GP,0,True,False,False,2,teacher,1,False,3.33
12,11,0,1,yes,67,GP,0,True,False,False,5,other,5,True,2.0
9,10,0,1,yes,68,GP,0,False,False,False,2,services,1,False,1.0
10,11,0,1,yes,69,GP,0,False,False,False,3,health,1,True,1.0
15,15,0,1,yes,70,GP,0,False,False,False,3,other,2,True,3.0
11,13,0,1,yes,71,GP,0,False,False,False,1,other,1,True,1.0
9,11,0,1,yes,72,GP,0,True,False,False,1,other,1,False,1.0
11,13,0,1,yes,73,GP,0,False,False,True,4,other,2,True,1.0
13,13,0,1,yes,74,GP,0,False,True,False,2,other,2,True,2.67
11,11,0,1,yes,75,GP,0,False,False,False,4,other,2,False,1.0
11,11,0,1,yes,76,GP,0,True,False,False,3,teacher,2,False,1.0
11,12,0,1,yes,77,GP,0,True,False,False,1,teacher,1,False,1.0
13,13,0,1,yes,78,GP,0,False,False,False,3,other,1,True,2.33
9,9,3,0,no,79,GP,0,False,True,False,1,other,1,False,1.0
11,12,0,1,yes,80,GP,0,False,False,False,2,at_home,1,False,1.0
11,11,0,1,yes,81,GP,0,False,True,False,3,other,1,False,2.0
9,10,0,1,yes,82,GP,0,False,False,False,2,other,1,False,0.0
11,12,0,1,yes,83,GP,0,False,False,False,1,services,1,True,1.0
12,13,0,1,yes,84,GP,0,False,False,False,3,services,1,False,2.33
12,13,0,1,yes,85,GP,0,False,False,True,3,other,2,False,2.0
11,12,0,1,yes,86,GP,0,True,False,False,3,services,2,True,2.0
11,13,0,1,yes,87,GP,0,False,False,False,2,at_home,1,False,1.0
15,15,0,1,yes,88,GP,0,True,False,False,3,other,1,True,3.0
10,12,0,1,yes,89,GP,0,False,False,False,1,services,1,True,1.0
9,9,0,1,yes,90,GP,0,True,False,False,5,teacher,3,True,1.0
11,9,0,1,yes,91,GP,0,False,False,False,3,other,1,False,1.0
13,14,0,1,yes,92,GP,0,True,True,False,3,services,1,True,2.33
13,12,0,1,yes,93,GP,0,False,False,False,3,other,2,False,2.0
14,13,0,1,yes,94,GP,0,True,False,False,1,teacher,1,False,2.67
12,11,0,1,yes,95,GP,0,False,False,False,1,services,1,True,2.0
13,13,0,1,yes,96,GP,0,False,False,True,1,at_home,1,False,2.33
11,9,0,1,yes,97,GP,0,True,True,False,1,services,1,True,1.0
12,13,0,1,yes,98,GP,0,False,False,False,1,other,1,False,2.0
13,12,0,1,yes,99,GP,0,True,True,False,2,other,1,True,2.33
13,12,0,1,yes,100,GP,0,True,False,False,1,other,1,False,2.33
