Feature,Importance
grade_2,0.8592687598156535
grade_1,0.045447981120385283
student_id,0.042146932689494064
weekend_alcohol,0.012181112634669764
mother_job,0.010384747605724356
weekday_alcohol,0.007532882245464075
study_time_<2 hours,0.004414244607597771
mother_education_primary education (4th grade),0.004211203800594335
school_choice_reason_reputation,0.0041233718363717494
class_failures,0.003163111643303396
mother_education_higher education,0.0027532851361657573
school,0.0016276425952983062
school_encoded,0.0014460475225097635
higher_ed_encoded,0.0007267632077478732
higher_ed,0.0005719135390197361
